umap_1,umap_2,kmeans_label
14.164317,-0.9236215,4
17.710526,10.009243,4
-7.716827,8.684784,5
-4.146606,6.6546016,5
-11.921069,17.591019,4
-0.49072543,20.087332,5
6.9764733,17.489292,4
-8.180262,12.812501,4
17.78507,-5.3823686,5
4.242785,-1.914149,5
-5.427103,-11.367538,0
-7.739279,8.568883,5
3.5244849,-2.09096,5
18.916788,-5.088554,5
-5.834313,-2.375564,6
-3.287593,-2.0082412,6
0.40879342,19.5876,5
8.792791,6.477959,4
2.0381346,10.425254,2
10.569408,-2.8859632,1
8.091345,6.5504193,4
-4.040694,-0.056441687,6
18.583277,-5.653787,5
-7.084871,12.785506,2
2.9379592,-1.012286,5
-0.24478689,14.391196,4
7.4913993,7.20538,4
19.543304,-4.8789454,5
-4.420921,6.118378,5
5.9649167,-1.3773983,5
17.853647,10.06595,4
1.2033824,29.17719,4
14.332012,-0.45958227,4
14.239105,15.749703,3
17.71239,6.150777,1
7.168443,4.3942924,4
2.401504,4.437513,4
5.640266,5.7698827,4
14.26298,-1.0278904,4
4.1057057,0.71785754,5
13.688477,17.051199,3
19.25184,-0.06294737,4
11.20937,21.762959,2
8.665797,6.0807023,4
17.67304,-6.006771,5
-8.737634,8.171536,5
3.9079065,-0.85649157,5
19.185553,-0.14748314,4
-4.009696,-0.049123593,6
7.0183144,5.1495104,4
7.2016816,4.3999104,4
-7.0158877,12.851719,2
1.0623354,9.059044,2
1.500427,9.204725,2
17.340778,9.783766,4
-7.8490486,8.3229,5
5.9936047,24.283842,4
19.234325,-0.16703548,4
21.572515,5.5920916,4
5.575681,-1.5665714,5
6.350249,-2.0664911,5
16.90819,11.151838,4
8.800556,6.505964,4
23.237148,2.694976,2
5.945784,-0.032198347,5
-5.07687,5.909169,5
1.5030062,10.923339,2
-6.2578535,-11.686752,0
-1.2805436,4.3792486,1
-3.9789188,6.161263,5
-10.215057,2.5572262,4
3.3375673,-1.5170342,5
3.858306,24.970364,5
-1.972436,7.6047063,1
16.845987,11.030298,4
-3.868261,-0.51898974,6
0.6172649,19.974678,5
-6.7598133,12.971136,2
7.000295,-10.332647,3
-0.6472513,20.58673,5
-2.1210647,7.778722,1
19.989838,-0.7357443,4
6.3504276,17.608976,4
-12.366887,-2.4219804,0
3.9544857,25.131369,5
-7.16043,-7.6260223,0
6.135774,4.760272,4
16.609001,10.923675,4
16.799713,10.779454,4
-4.538167,-0.27650377,6
-4.064945,6.109338,5
-4.979883,5.960121,5
-9.319185,8.546984,5
17.528051,10.793512,4
-4.1957555,6.627648,5
-8.926437,12.324906,4
4.4895215,-0.90546656,5
13.495789,17.255447,3
-9.277786,8.688377,5
